Experiment: common_functions_fc(30)-fc(30)-fc(30)_cos[x]
Accuracy | Precision | Recall | F1 | AUC | AUC prob.
0.955 | 0.958 | 0.903 | 0.927 | 0.998 | 0.972
0.956 | 0.945 | 0.930 | 0.935 | 0.998 | 0.974
0.948 | 0.952 | 0.880 | 0.910 | 0.998 | 0.969
0.954 | 0.933 | 0.911 | 0.918 | 0.998 | 0.967
0.955 | 0.953 | 0.905 | 0.926 | 0.998 | 0.971
0.958 | 0.962 | 0.915 | 0.936 | 0.998 | 0.976
0.946 | 0.939 | 0.880 | 0.904 | 0.997 | 0.956
0.957 | 0.946 | 0.926 | 0.935 | 0.998 | 0.976
Experiment: common_functions_fc(30)-fc(30)-fc(30)_elu(alpha=1.0)
Accuracy | Precision | Recall | F1 | AUC | AUC prob.
0.891 | 0.899 | 0.682 | 0.715 | 0.993 | 0.913
0.935 | 0.905 | 0.934 | 0.918 | 0.997 | 0.968
0.860 | 0.821 | 0.601 | 0.782 | 0.990 | 0.874
0.912 | 0.924 | 0.867 | 0.890 | 0.996 | 0.958
0.940 | 0.947 | 0.879 | 0.908 | 0.997 | 0.971
0.952 | 0.944 | 0.925 | 0.933 | 0.998 | 0.977
0.931 | 0.937 | 0.853 | 0.885 | 0.997 | 0.959
0.945 | 0.945 | 0.912 | 0.927 | 0.998 | 0.973
Experiment: common_functions_fc(30)-fc(30)-fc(30)_exp[x]
Accuracy | Precision | Recall | F1 | AUC | AUC prob.
0.906 | 0.907 | 0.848 | 0.874 | 0.991 | 0.927
0.915 | 0.909 | 0.893 | 0.899 | 0.995 | 0.952
0.912 | 0.929 | 0.838 | 0.875 | 0.995 | 0.947
0.924 | 0.930 | 0.894 | 0.911 | 0.996 | 0.962
0.884 | 0.790 | 0.675 | 0.712 | 0.965 | 0.759
0.882 | 0.792 | 0.669 | 0.707 | 0.971 | 0.785
0.894 | 0.785 | 0.704 | 0.733 | 0.933 | 0.739
0.905 | 0.845 | 0.728 | 0.767 | 0.942 | 0.797
Experiment: common_functions_fc(30)-fc(30)-fc(30)_gauss[x]
Accuracy | Precision | Recall | F1 | AUC | AUC prob.
0.944 | 0.948 | 0.823 | 0.869 | 0.997 | 0.955
0.959 | 0.949 | 0.920 | 0.931 | 0.998 | 0.973
0.950 | 0.950 | 0.845 | 0.880 | 0.998 | 0.955
0.954 | 0.939 | 0.901 | 0.911 | 0.998 | 0.964
0.946 | 0.945 | 0.851 | 0.886 | 0.997 | 0.948
0.955 | 0.934 | 0.909 | 0.918 | 0.998 | 0.964
0.933 | 0.916 | 0.775 | 0.798 | 0.996 | 0.929
0.954 | 0.944 | 0.918 | 0.930 | 0.998 | 0.968
Experiment: common_functions_fc(30)-fc(30)-fc(30)_hardsigmoid
Accuracy | Precision | Recall | F1 | AUC | AUC prob.
0.917 | 0.923 | 0.844 | 0.876 | 0.995 | 0.946
0.910 | 0.824 | 0.893 | 0.847 | 0.995 | 0.932
0.889 | 0.906 | 0.765 | 0.816 | 0.992 | 0.920
0.897 | 0.875 | 0.867 | 0.868 | 0.994 | 0.941
0.916 | 0.919 | 0.740 | 0.782 | 0.995 | 0.934
0.941 | 0.914 | 0.918 | 0.915 | 0.997 | 0.963
0.909 | 0.916 | 0.737 | 0.778 | 0.994 | 0.910
0.930 | 0.883 | 0.892 | 0.885 | 0.996 | 0.944
Experiment: common_functions_fc(30)-fc(30)-fc(30)_hardtanh
Accuracy | Precision | Recall | F1 | AUC | AUC prob.
0.925 | 0.931 | 0.752 | 0.790 | 0.997 | 0.945
0.943 | 0.940 | 0.899 | 0.916 | 0.998 | 0.967
0.909 | 0.913 | 0.683 | 0.705 | 0.995 | 0.931
0.937 | 0.929 | 0.902 | 0.913 | 0.997 | 0.961
0.937 | 0.934 | 0.775 | 0.804 | 0.996 | 0.922
0.948 | 0.914 | 0.907 | 0.909 | 0.998 | 0.949
0.915 | 0.917 | 0.701 | 0.734 | 0.995 | 0.900
0.944 | 0.920 | 0.895 | 0.905 | 0.997 | 0.947
Experiment: common_functions_fc(30)-fc(30)-fc(30)_leakyrelu(a=0.01)
Accuracy | Precision | Recall | F1 | AUC | AUC prob.
0.933 | 0.939 | 0.810 | 0.849 | 0.997 | 0.965
0.947 | 0.931 | 0.904 | 0.911 | 0.998 | 0.972
0.943 | 0.948 | 0.836 | 0.871 | 0.998 | 0.971
0.949 | 0.932 | 0.923 | 0.924 | 0.998 | 0.972
0.951 | 0.950 | 0.898 | 0.920 | 0.998 | 0.976
0.958 | 0.958 | 0.929 | 0.942 | 0.998 | 0.980
0.946 | 0.943 | 0.886 | 0.910 | 0.997 | 0.968
0.956 | 0.948 | 0.934 | 0.940 | 0.998 | 0.977
Experiment: common_functions_fc(30)-fc(30)-fc(30)_pow2[x]
Accuracy | Precision | Recall | F1 | AUC | AUC prob.
